GeneA,GeneB
A0AV47,A0AV47
A0FGR8,A0FGR9
A5PKW4,A5PKW4
A8K0Z3,B3KMC4
A8MVA2,B0QYK1
B0QYK1,B0QYK1
B0QYK1,C9JC66
B1GXI8,B4DV56
B3KQF8,C4P0A4
B5BUJ7,B5BUJ7
B9EGS8,B9EGS8
C3PTT6,C3PTT6
C4P0A4,C4P0A4
E5KSU5,E5KTM5
J3KN16,Q6RW13
J3KNP4,P0CG48
J3KNP4,Q96PD2
J3QL51,P0CG48
J7GWL1,P05067
J7QVD9,Q15051
O00115,O60313
O00115,P0CG48
O00115,P23921
O00115,Q8IZH2
O00115,Q9NRD1
O00115,Q9UBS4
O00115,Q9Y230
O00115,Q9Y265
O00116,O15228
O00116,O60260
O00116,O75381
O00116,P0CG48
O00116,P17931
O00116,P22307
O00116,P28288
O00116,P33897
O00116,P50542
O00116,P51553
O00116,Q16527
O00116,Q676U5
O00116,Q96DB2
O00124,P07550
O00124,P0CG48
O00124,P13984
O00124,P55072
O00124,Q86TM6
O00124,Q8TAT6
O00124,Q92890
O00124,Q96JH7
O00139,O94985
O00139,P0CG48
O00139,P10242
O00139,P46531
O00139,P51858
O00139,Q07866
O00139,Q13043
O00139,Q16656
O00139,Q16695
O00139,Q9H0B6
O00139,Q9NZC7
O00141,A0N4V7
O00141,F5H284
O00141,O00303
O00141,O15067
O00141,O15360
O00141,O15530
O00141,O43524
O00141,O75390
O00141,O75828
O00141,O95202
O00141,O95257
O00141,P01833
O00141,P02788
O00141,P04049
O00141,P04406
O00141,P07900
O00141,P08238
O00141,P0CG48
O00141,P10636
O00141,P11940
O00141,P12273
O00141,P12882
O00141,P14866
O00141,P15056
O00141,P15311
O00141,P16220
O00141,P22234
O00141,P25942
O00141,P26196
O00141,P26640
O00141,P30049
O00141,P34932
O00141,P39023
O00141,P41252
O00141,P42336
O00141,P42568
O00141,P43003
O00141,P43355
O00141,P46934
O00141,P48048
O00141,P49321
O00141,P49411
O00141,P49840
O00141,P49841
O00141,P50395
O00141,P51168
O00141,P52272
O00141,P52292
O00141,P55072
O00141,P60900
O00141,P61247
O00141,P67775
O00141,Q13164
O00141,Q13347
O00141,Q13435
O00141,Q13616
O00141,Q14697
O00141,Q15008
O00141,Q15118
O00141,Q15119
O00141,Q15599
O00141,Q15717
O00141,Q16543
O00141,Q16658
O00141,Q52LJ0
O00141,Q6NVI1
O00141,Q6R327
O00141,Q86TM6
O00141,Q8N5S9
O00141,Q8N668
O00141,Q8TEX9
O00141,Q96J92
O00141,Q96PU5
O00141,Q96RR4
O00141,Q99576
O00141,Q9H4A3
O00141,Q9H8S9
O00141,Q9HC98
O00141,Q9NTK5
O00141,Q9NVA4
O00141,Q9UI14
O00141,Q9UNE7
O00141,Q9UQ80
O00141,Q9Y2V2
O00141,Q9Y3S1
O00141,Q9Y4L1
O00141,Q9Y6K9
O00144,O00755
O00144,P04628
O00144,P09544
O00144,Q99750
O00148,O15205
O00148,O75323
O00148,O75530
O00148,O95433
O00148,P00390
O00148,P09874
O00148,P0CG48
O00148,P48431
O00148,P52788
O00148,P54274
O00148,P61956
O00148,P63165
O00148,P78362
O00148,P82979
O00148,Q00796
O00148,Q05397
O00148,Q06265
O00148,Q13838
O00148,Q15554
O00148,Q16627
O00148,Q16656
